ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
1230288;Name288;FistName288;1981-01-14;Ville16;Pays1;NS000000288;;+336##0457260;27;NomVoie47288;;#0427;Ville18;Pays1;2023-01-26 17:19:02;2023-01-26 17:19:02
1247121;Name17121;FistName17121;1952-04-07;Ville1;Pays4;NS000017121;;+336##0590974;36;NomVoie9017121;;#0877;Ville4;Pays1;2001-05-15 06:37:23;2001-05-15 06:37:23
1277234;Name47234;FistName47234;1987-04-11;Ville1;Pays1;NS000047234;;+336##0077570;36;NomVoie6447234;;#0209;Ville17;Pays3;2007-07-23 12:07:18;2007-07-23 12:07:18
1267549;Name37549;FistName37549;1995-10-02;Ville17;Pays2;NS000037549;;+336##0952947;9;NomVoie7837549;;#9507;Ville13;Pays3;2009-04-10 08:10:22;2009-04-10 08:10:22
1276956;Name46956;FistName46956;2014-01-08;Ville7;Pays5;NS000046956;;+336##0101577;35;NomVoie7046956;;#1609;Ville24;Pays2;2008-05-14 22:42:40;2008-05-14 22:42:40
1261440;Name31440;FistName31440;1949-04-27;Ville16;Pays1;NS000031440;;+336##0839415;69;NomVoie8631440;;#0245;Ville19;Pays2;2014-09-09 04:29:47;2014-09-09 04:29:47
1263527;Name33527;FistName33527;1980-09-09;Ville13;Pays2;NS000033527;;+336##0817674;48;NomVoie2033527;;#2783;Ville8;Pays2;2010-05-11 21:19:43;2010-05-11 21:19:43
1234369;Name4369;FistName4369;1979-01-15;Ville15;Pays2;NS000004369;;+336##0789471;74;NomVoie974369;;#5433;Ville11;Pays2;2020-09-06 05:57:09;2020-09-06 05:57:09
1266124;Name36124;FistName36124;1952-10-13;Ville24;Pays2;NS000036124;;+336##0604083;11;NomVoie636124;;#2145;Ville10;Pays1;2014-01-21 23:18:50;2014-01-21 23:18:50
1258319;Name28319;FistName28319;1940-10-26;Ville19;Pays1;NS000028319;;+336##0529509;58;NomVoie6428319;;#1440;Ville13;Pays2;2002-06-10 22:05:50;2002-06-10 22:05:50
