"PART_ID","STRT_NUM","STRT_DSC","COMP_STRT","POST_CD","CITY_NAME","CNTR_NAME","STRT_VALD_DTTM","END_VALD_DTTM","EXEC_ID"
8585,"19","NomVoie4719825",,"#6554","Ville2","Pays2","2008-11-04 20:09:22.0","2008-11-04 20:09:22.0",12
3018,"72","NomVoie6130138",,"#3612","Ville2","Pays1","2008-08-24 09:44:42.0","2008-08-24 09:44:42.0",12
6036,"31","NomVoie3120162",,"#1699","Ville18","Pays2","2004-11-25 18:49:42.0","2004-11-25 18:49:42.0",12
469,"51","NomVoie4316653",,"#3636","Ville20","Pays1","2012-08-04 01:50:16.0","2012-08-04 01:50:16.0",12
3487,"74","NomVoie3749192",,"#1798","Ville14","Pays1","2016-05-27 14:21:37.0","2016-05-27 14:21:37.0",12
938,"52","NomVoie3238459",,"#4828","Ville23","Pays1","2010-05-06 02:01:03.0","2010-05-06 02:01:03.0",12
3956,"91","NomVoie779182",,"#1679","Ville25","Pays2","1997-04-25 12:05:05.0","1997-04-25 12:05:05.0",12
1407,"89","NomVoie936011",,"#8126","Ville5","Pays1","2008-06-14 05:03:49.0","2008-06-14 05:03:49.0",12
13010,"50","NomVoie735198",,"#4045","Ville25","Pays1","1997-08-01 03:12:46.0","1997-08-01 03:12:46.0",12
13479,"39","NomVoie4118949",,"#6966","Ville16","Pays1","1999-01-07 22:37:26.0","1999-01-07 22:37:26.0",12
10930,"33","NomVoie4828905",,"#7682","Ville21","Pays2","2021-01-24 21:18:24.0","2021-01-24 21:18:24.0",12
13948,"2","NomVoie1531913",,"#5341","Ville3","Pays1","2023-01-19 23:14:37.0","2023-01-19 23:14:37.0",12
8381,"50","NomVoie1214501",,"#2419","Ville17","Pays4","2006-01-14 17:03:25.0","2006-01-14 17:03:25.0",12
11399,"22","NomVoie1341492",,"#5937","Ville5","Pays2","2017-11-05 20:11:23.0","2017-11-05 20:11:23.0",12
5832,"55","NomVoie399440",,"#4578","Ville2","Pays1","2022-05-06 22:21:26.0","2022-05-06 22:21:26.0",12
14417,"34","NomVoie6245615",,"#4065","Ville19","Pays1","2004-05-12 05:14:17.0","2004-05-12 05:14:17.0",12
8850,"77","NomVoie4926219",,"#1643","Ville24","Pays4","2012-05-18 23:55:21.0","2012-05-18 23:55:21.0",12
11868,"48","NomVoie92386",,"#4246","Ville23","Pays2","2003-07-23 15:12:11.0","2003-07-23 15:12:11.0",12
6301,"23","NomVoie3535571",,"#4458","Ville5","Pays3","2001-04-23 22:34:49.0","2001-04-23 22:34:49.0",12
9319,"60","NomVoie4938595",,"#7701","Ville8","Pays3","2010-11-19 17:06:43.0","2010-11-19 17:06:43.0",12
3752,"68","NomVoie543450",,"#3096","Ville10","Pays2","2005-08-22 08:22:32.0","2005-08-22 08:22:32.0",12
6770,"35","NomVoie804952",,"#8959","Ville8","Pays3","2001-01-17 18:01:23.0","2001-01-17 18:01:23.0",12
4221,"16","NomVoie3115666",,"#3505","Ville4","Pays1","2014-05-25 09:10:14.0","2014-05-25 09:10:14.0",12
7239,"4","NomVoie1727887",,"#0823","Ville15","Pays2","1998-02-19 14:32:30.0","1998-02-19 14:32:30.0",12
