"PART_ID","INDV_NAME","INDIV_FIRS_NAME","INDV_STTS_CD","CRTN_DTTM","UPDT_DTTM","EXEC_ID","BIRT_DT","BIRT_CITY","BIRT_CNTR","WRKL_NUM"
8585,"Name19825","FistName19825","Actif","2008-11-04 20:09:22.0","2008-11-04 20:09:22.0",12,"1973-04-01","Ville14","Pays1","NS000019825"
3018,"Name30138","FistName30138","Actif","2008-08-24 09:44:42.0","2008-08-24 09:44:42.0",12,"2003-09-12","Ville18","Pays1","NS000030138"
6036,"Name20162","FistName20162","Actif","2004-11-25 18:49:42.0","2004-11-25 18:49:42.0",12,"1964-11-11","Ville21","Pays4","NS000020162"
469,"Name16653","FistName16653","Actif","2012-08-04 01:50:16.0","2012-08-04 01:50:16.0",12,"1968-10-14","Ville23","Pays3","NS000016653"
3487,"Name49192","FistName49192","Actif","2016-05-27 14:21:37.0","2016-05-27 14:21:37.0",12,"1937-09-22","Ville1","Pays1","NS000049192"
938,"Name38459","FistName38459","Actif","2010-05-06 02:01:03.0","2010-05-06 02:01:03.0",12,"1946-06-09","Ville1","Pays1","NS000038459"
3956,"Name9182","FistName9182","Actif","1997-04-25 12:05:05.0","1997-04-25 12:05:05.0",12,"1946-07-02","Ville1","Pays1","NS000009182"
1407,"Name6011","FistName6011","Actif","2008-06-14 05:03:49.0","2008-06-14 05:03:49.0",12,"1931-11-02","Ville12","Pays1","NS000006011"
13010,"Name5198","FistName5198","Actif","1997-08-01 03:12:46.0","1997-08-01 03:12:46.0",12,"1963-11-22","Ville21","Pays2","NS000005198"
13479,"Name18949","FistName18949","Actif","1999-01-07 22:37:26.0","1999-01-07 22:37:26.0",12,"1995-08-23","Ville19","Pays3","NS000018949"
10930,"Name28905","FistName28905","Actif","2021-01-24 21:18:24.0","2021-01-24 21:18:24.0",12,"2010-02-18","Ville4","Pays2","NS000028905"
13948,"Name31913","FistName31913","Actif","2023-01-19 23:14:37.0","2023-01-19 23:14:37.0",12,"1944-01-14","Ville20","Pays2","NS000031913"
8381,"Name14501","FistName14501","Actif","2006-01-14 17:03:25.0","2006-01-14 17:03:25.0",12,"1999-01-26","Ville20","Pays2","NS000014501"
11399,"Name41492","FistName41492","Actif","2017-11-05 20:11:23.0","2017-11-05 20:11:23.0",12,"1983-06-01","Ville18","Pays1","NS000041492"
5832,"Name9440","FistName9440","Actif","2022-05-06 22:21:26.0","2022-05-06 22:21:26.0",12,"1985-03-12","Ville1","Pays4","NS000009440"
14417,"Name45615","FistName45615","Actif","2004-05-12 05:14:17.0","2004-05-12 05:14:17.0",12,"1943-09-01","Ville6","Pays1","NS000045615"
8850,"Name26219","FistName26219","Actif","2012-05-18 23:55:21.0","2012-05-18 23:55:21.0",12,"1978-05-18","Ville9","Pays1","NS000026219"
11868,"Name2386","FistName2386","Actif","2003-07-23 15:12:11.0","2003-07-23 15:12:11.0",12,"1935-04-08","Ville22","Pays2","NS000002386"
6301,"Name35571","FistName35571","Actif","2001-04-23 22:34:49.0","2001-04-23 22:34:49.0",12,"1949-08-01","Ville6","Pays1","NS000035571"
9319,"Name38595","FistName38595","Actif","2010-11-19 17:06:43.0","2010-11-19 17:06:43.0",12,"2012-05-05","Ville21","Pays1","NS000038595"
3752,"Name3450","FistName3450","Actif","2005-08-22 08:22:32.0","2005-08-22 08:22:32.0",12,"2014-02-22","Ville3","Pays2","NS000003450"
6770,"Name4952","FistName4952","Actif","2001-01-17 18:01:23.0","2001-01-17 18:01:23.0",12,"1951-09-05","Ville20","Pays4","NS000004952"
1203,"NameMedecin8","FirstNameMedecin8","Actif","1999-03-01 00:00:00.0","2024-02-23 00:00:00.0",12,,,,
9788,"NameMedecin44","FirstNameMedecin44","Actif","1999-03-01 00:00:00.0","2024-02-23 00:00:00.0",12,,,,
4221,"Name15666","FistName15666","Actif","2014-05-25 09:10:14.0","2014-05-25 09:10:14.0",12,"1989-02-14","Ville7","Pays1","NS000015666"
7239,"Name27887","FistName27887","Actif","1998-02-19 14:32:30.0","1998-02-19 14:32:30.0",12,"1987-11-18","Ville1","Pays1","NS000027887"
1672,"Name23846","FistName23846","Actif","2001-06-17 20:33:51.0","2001-06-17 20:33:51.0",12,"1959-08-19","Ville9","Pays3","NS000023846"
4690,"Name27772","FistName27772","Actif","2006-01-02 18:34:41.0","2006-01-02 18:34:41.0",12,"1939-07-03","Ville6","Pays1","NS000027772"
2141,"NameMedecin25","FirstNameMedecin25","Actif","1999-03-01 00:00:00.0","2024-02-23 00:00:00.0",12,,,,
2610,"Name15899","FistName15899","Actif","2019-04-15 08:52:37.0","2019-04-15 08:52:37.0",12,"1950-05-18","Ville12","Pays2","NS000015899"
61,"NameMedecin60","FirstNameMedecin60","Actif","2004-02-01 00:00:00.0","2024-02-23 00:00:00.0",12,,,,
14213,"Name39704","FistName39704","Actif","2001-09-17 01:36:43.0","2001-09-17 01:36:43.0",12,"1975-11-23","Ville15","Pays1","NS000039704"
11664,"Name48731","FistName48731","Actif","2018-06-07 15:06:07.0","2018-06-07 15:06:07.0",12,"1940-04-08","Ville7","Pays2","NS000048731"
12133,"Name18251","FistName18251","Actif","2009-09-07 07:19:28.0","2009-09-07 07:19:28.0",12,"1992-09-24","Ville25","Pays1","NS000018251"
9584,"Name45571","FistName45571","Actif","2000-11-08 08:19:42.0","2000-11-08 08:19:42.0",12,"1954-03-23","Ville9","Pays1","NS000045571"
12602,"Name43505","FistName43505","Actif","2011-11-23 14:26:09.0","2011-11-23 14:26:09.0",12,"2001-11-19","Ville16","Pays2","NS000043505"
7035,"Name18482","FistName18482","Actif","2001-09-11 13:19:39.0","2001-09-11 13:19:39.0",12,"1959-09-13","Ville15","Pays2","NS000018482"
10053,"Name4974","FistName4974","Actif","2008-03-11 03:32:01.0","2008-03-11 03:32:01.0",12,"2010-07-15","Ville22","Pays1","NS000004974"
13071,"Name6824","FistName6824","Actif","2015-06-12 14:54:46.0","2015-06-12 14:54:46.0",12,"1946-01-03","Ville14","Pays2","NS000006824"
7504,"Name41821","FistName41821","Actif","2005-05-03 04:42:26.0","2005-05-03 04:42:26.0",12,"1966-05-04","Ville22","Pays2","NS000041821"
10522,"Name17380","FistName17380","Actif","2017-10-10 22:40:33.0","2017-10-10 22:40:33.0",12,"1962-05-12","Ville4","Pays2","NS000017380"
4955,"Name34394","FistName34394","Actif","1997-11-20 20:54:14.0","1997-11-20 20:54:14.0",12,"1995-01-08","Ville11","Pays1","NS000034394"
7973,"Name5001","FistName5001","Actif","2014-07-13 17:31:57.0","2014-07-13 17:31:57.0",12,"2001-01-19","Ville9","Pays2","NS000005001"
2406,"Name8413","FistName8413","Actif","2018-08-04 21:57:07.0","2018-08-04 21:57:07.0",12,"1956-03-13","Ville13","Pays3","NS000008413"
5424,"Name46532","FistName46532","Actif","2023-05-06 07:16:12.0","2023-05-06 07:16:12.0",12,"1967-11-03","Ville15","Pays1","NS000046532"
8442,"Name16366","FistName16366","Actif","2013-06-09 12:55:01.0","2013-06-09 12:55:01.0",12,"1971-05-07","Ville2","Pays2","NS000016366"
2875,"Name24998","FistName24998","Actif","2008-02-08 01:35:47.0","2008-02-08 01:35:47.0",12,"1952-05-05","Ville25","Pays1","NS000024998"
5893,"Name13023","FistName13023","Actif","2016-07-27 23:37:07.0","2016-07-27 23:37:07.0",12,"1930-11-07","Ville18","Pays1","NS000013023"
326,"Name10588","FistName10588","Actif","1997-03-10 22:40:51.0","1997-03-10 22:40:51.0",12,"1963-03-12","Ville12","Pays1","NS000010588"
3344,"Name43297","FistName43297","Actif","2019-01-14 17:13:46.0","2019-01-14 17:13:46.0",12,"1970-07-25","Ville10","Pays2","NS000043297"
795,"Name31727","FistName31727","Actif","2004-01-11 03:44:58.0","2004-01-11 03:44:58.0",12,"1958-09-25","Ville3","Pays1","NS000031727"
3813,"Name5039","FistName5039","Actif","2007-07-07 09:39:02.0","2007-07-07 09:39:02.0",12,"1953-07-01","Ville11","Pays4","NS000005039"
1264,"NameMedecin69","FirstNameMedecin69","Actif","2004-02-01 00:00:00.0","2024-02-23 00:00:00.0",12,,,,
12867,"Name1380","FistName1380","Actif","1997-09-25 09:27:10.0","1997-09-25 09:27:10.0",12,"1969-09-04","Ville17","Pays1","NS000001380"
10318,"Name11990","FistName11990","Actif","2015-01-25 15:22:58.0","2015-01-25 15:22:58.0",12,"2005-04-23","Ville12","Pays2","NS000011990"
13336,"Name14456","FistName14456","Actif","2001-02-27 10:57:04.0","2001-02-27 10:57:04.0",12,"2008-10-25","Ville1","Pays2","NS000014456"
10787,"Name24829","FistName24829","Actif","2019-10-18 12:25:10.0","2019-10-18 12:25:10.0",12,"1954-10-14","Ville25","Pays1","NS000024829"
13805,"Name28004","FistName28004","Actif","2007-10-26 08:42:48.0","2007-10-26 08:42:48.0",12,"2008-06-12","Ville9","Pays1","NS000028004"
8238,"Name11024","FistName11024","Actif","2010-10-03 02:49:45.0","2010-10-03 02:49:45.0",12,"1939-09-01","Ville23","Pays2","NS000011024"
11256,"Name37887","FistName37887","Actif","2009-02-23 06:57:41.0","2009-02-23 06:57:41.0",12,"1932-04-09","Ville6","Pays1","NS000037887"
5689,"Name1234","FistName1234","Actif","2014-08-04 15:30:20.0","2014-08-04 15:30:20.0",12,"1939-07-11","Ville18","Pays1","NS000001234"
14274,"Name41611","FistName41611","Actif","2010-05-21 12:03:23.0","2010-05-21 12:03:23.0",12,"1958-11-16","Ville20","Pays2","NS000041611"
8707,"Name22850","FistName22850","Actif","2022-03-26 21:05:58.0","2022-03-26 21:05:58.0",12,"1945-03-23","Ville20","Pays1",
