"PART_ID","CNTR_CD","TELP_NUM","STRT_VALD_DTTM","END_VALD_DTTM","EXEC_ID"
8585,,"+336##0842731","2008-11-04 20:09:22.0","2008-11-04 20:09:22.0",12
3018,,"+336##0082769","2008-08-24 09:44:42.0","2008-08-24 09:44:42.0",12
6036,,"+336##0273359","2004-11-25 18:49:42.0","2004-11-25 18:49:42.0",12
469,,"+336##0795676","2012-08-04 01:50:16.0","2012-08-04 01:50:16.0",12
3487,,"+336##0529942","2016-05-27 14:21:37.0","2016-05-27 14:21:37.0",12
938,,"+336##0794380","2010-05-06 02:01:03.0","2010-05-06 02:01:03.0",12
3956,,"+336##0672134","1997-04-25 12:05:05.0","1997-04-25 12:05:05.0",12
1407,,"+336##0469463","2008-06-14 05:03:49.0","2008-06-14 05:03:49.0",12
13010,,"+336##0332732","1997-08-01 03:12:46.0","1997-08-01 03:12:46.0",12
13479,,"+336##0133154","1999-01-07 22:37:26.0","1999-01-07 22:37:26.0",12
10930,,"+336##0109123","2021-01-24 21:18:24.0","2021-01-24 21:18:24.0",12
13948,,"+336##0188458","2023-01-19 23:14:37.0","2023-01-19 23:14:37.0",12
8381,,"+336##0798442","2006-01-14 17:03:25.0","2006-01-14 17:03:25.0",12
11399,,"+336##0871417","2017-11-05 20:11:23.0","2017-11-05 20:11:23.0",12
5832,,"+336##0572927","2022-05-06 22:21:26.0","2022-05-06 22:21:26.0",12
14417,,"+336##0176029","2004-05-12 05:14:17.0","2004-05-12 05:14:17.0",12
8850,,"+336##0525320","2012-05-18 23:55:21.0","2012-05-18 23:55:21.0",12
11868,,"+336##0430648","2003-07-23 15:12:11.0","2003-07-23 15:12:11.0",12
6301,,"+336##0671385","2001-04-23 22:34:49.0","2001-04-23 22:34:49.0",12
9319,,"+336##0812544","2010-11-19 17:06:43.0","2010-11-19 17:06:43.0",12
3752,,"+336##0480247","2005-08-22 08:22:32.0","2005-08-22 08:22:32.0",12
6770,,"+336##0701681","2001-01-17 18:01:23.0","2001-01-17 18:01:23.0",12
4221,,"+336##0783174","2014-05-25 09:10:14.0","2014-05-25 09:10:14.0",12
7239,,"+336##0482861","1998-02-19 14:32:30.0","1998-02-19 14:32:30.0",12
1672,,"+336##0411020","2001-06-17 20:33:51.0","2001-06-17 20:33:51.0",12
4690,,"+336##0235974","2006-01-02 18:34:41.0","2006-01-02 18:34:41.0",12
2610,,"+336##0095247","2019-04-15 08:52:37.0","2019-04-15 08:52:37.0",12
14213,,"+336##0626686","2001-09-17 01:36:43.0","2001-09-17 01:36:43.0",12
11664,,"+336##0632023","2018-06-07 15:06:07.0","2018-06-07 15:06:07.0",12
12133,,"+336##0851319","2009-09-07 07:19:28.0","2009-09-07 07:19:28.0",12
9584,,"+336##0031006","2000-11-08 08:19:42.0","2000-11-08 08:19:42.0",12
12602,,"+336##0323704","2011-11-23 14:26:09.0","2011-11-23 14:26:09.0",12
7035,,"+336##0145401","2001-09-11 13:19:39.0","2001-09-11 13:19:39.0",12
10053,,"+336##0307791","2008-03-11 03:32:01.0","2008-03-11 03:32:01.0",12
13071,,"+336##0070394","2015-06-12 14:54:46.0","2015-06-12 14:54:46.0",12
7504,,"+336##0901242","2005-05-03 04:42:26.0","2005-05-03 04:42:26.0",12
10522,,"+336##0572749","2017-10-10 22:40:33.0","2017-10-10 22:40:33.0",12
4955,,"+336##0475713","1997-11-20 20:54:14.0","1997-11-20 20:54:14.0",12
7973,,"+336##0917865","2014-07-13 17:31:57.0","2014-07-13 17:31:57.0",12
2406,,"+336##0255746","2018-08-04 21:57:07.0","2018-08-04 21:57:07.0",12
5424,,"+336##0724844","2023-05-06 07:16:12.0","2023-05-06 07:16:12.0",12
8442,,"+336##0979480","2013-06-09 12:55:01.0","2013-06-09 12:55:01.0",12
2875,,"+336##0679296","2008-02-08 01:35:47.0","2008-02-08 01:35:47.0",12
5893,,"+336##0584878","2016-07-27 23:37:07.0","2016-07-27 23:37:07.0",12
326,,"+336##0863673","1997-03-10 22:40:51.0","1997-03-10 22:40:51.0",12
3344,,"+336##0543604","2019-01-14 17:13:46.0","2019-01-14 17:13:46.0",12
795,,"+336##0529555","2004-01-11 03:44:58.0","2004-01-11 03:44:58.0",12
3813,,"+336##0767762","2007-07-07 09:39:02.0","2007-07-07 09:39:02.0",12
12867,,"+336##0710503","1997-09-25 09:27:10.0","1997-09-25 09:27:10.0",12
10318,,"+336##0302330","2015-01-25 15:22:58.0","2015-01-25 15:22:58.0",12
13336,,"+336##0974176","2001-02-27 10:57:04.0","2001-02-27 10:57:04.0",12
10787,,"+336##0509396","2019-10-18 12:25:10.0","2019-10-18 12:25:10.0",12
13805,,"+336##0554785","2007-10-26 08:42:48.0","2007-10-26 08:42:48.0",12
8238,,"+336##0846601","2010-10-03 02:49:45.0","2010-10-03 02:49:45.0",12
11256,,"+336##0822224","2009-02-23 06:57:41.0","2009-02-23 06:57:41.0",12
5689,,"+336##0185644","2014-08-04 15:30:20.0","2014-08-04 15:30:20.0",12
14274,,"+336##0841644","2010-05-21 12:03:23.0","2010-05-21 12:03:23.0",12
8707,,"+336##0386177","2022-03-26 21:05:58.0","2022-03-26 21:05:58.0",12
11725,,"+336##0841235","2010-06-26 21:45:08.0","2010-06-26 21:45:08.0",12
6158,,"+336##0370885","2022-03-20 09:27:01.0","2022-03-20 09:27:01.0",12
9176,,"+336##0307471","2007-04-15 03:58:45.0","2007-04-15 03:58:45.0",12
3609,,"+336##0748330","1999-07-27 07:03:19.0","1999-07-27 07:03:19.0",12
1060,,"+336##0226895","2006-03-09 23:09:42.0","2006-03-09 23:09:42.0",12
9645,,"+336##0647284","2004-02-15 13:56:12.0","2004-02-15 13:56:12.0",12
4078,,"+336##0686616","1997-07-21 01:12:13.0","1997-07-21 01:12:13.0",12
7096,,"+336##0230729","2009-03-10 11:21:30.0","2009-03-10 11:21:30.0",12
1529,,"+336##0068916","2004-04-09 13:44:03.0","2004-04-09 13:44:03.0",12
4547,,"+336##0402220","1999-11-07 19:21:07.0","1999-11-07 19:21:07.0",12
1998,,"+336##0927191","2003-11-26 03:22:27.0","2003-11-26 03:22:27.0",12
2467,,"+336##0858683","2019-07-03 16:57:25.0","2019-07-03 16:57:25.0",12
14070,,"+336##0062549","2007-02-14 13:29:18.0","2007-02-14 13:29:18.0",12
11521,,"+336##0242264","1997-07-14 07:07:39.0","1997-07-14 07:07:39.0",12
14539,,"+336##0335996","2012-05-24 11:24:32.0","2012-05-24 11:24:32.0",12
11990,,"+336##0462131","1998-05-15 18:36:55.0","1998-05-15 18:36:55.0",12
9441,,"+336##0526380","2005-01-16 12:16:22.0","2005-01-16 12:16:22.0",12
